id,prescriber_last_name,prescriber_first_name,drug_name,drug_cost
1952310666,A'BODJEDI,ENENGE,ALPRAZOLAM,1964.49
1952310666,A'BODJEDI,ENENGE,AMANTADINE,1129.94
1952310666,A'BODJEDI,ENENGE,AMBIEN,4792.29
1952310666,A'BODJEDI,ENENGE,AMBIEN CR,4792.29
1952310666,A'BODJEDI,ENENGE,AMITRIPTYLINE HCL,692.78
1952310666,A'BODJEDI,ENENGE,ARIPIPRAZOLE,8374.44
1952310666,A'BODJEDI,ENENGE,BENZTROPINE MESYLATE,1868.72
1952310666,A'BODJEDI,ENENGE,BUPROPION XL,3111.04
1952310666,A'BODJEDI,ENENGE,BUSPIRONE HCL,837.7
1952310666,A'BODJEDI,ENENGE,CHLORPROMAZINE HCL,26826.62
1952310666,A'BODJEDI,ENENGE,CITALOPRAM HBR,422.3
1952310666,A'BODJEDI,ENENGE,CLOMIPRAMINE HCL,8886.79
1952310666,A'BODJEDI,ENENGE,CLONAZEPAM,1848.88
1952310666,A'BODJEDI,ENENGE,CLOZAPINE,6275.67
1952310666,A'BODJEDI,ENENGE,DESIPRAMINE HCL,1210.35
1952310666,A'BODJEDI,ENENGE,DEXTROAMPHETAMINE-AMPHETAMINE,1728.4
1649581778,AAMIR,FARYAAL,OMEGA-3 ACID ETHYL ESTERS,2175.24
1649581778,AAMIR,FARYAAL,OMEPRAZOLE,1293.73
1649581778,AAMIR,FARYAAL,OXYBUTYNIN CHLORIDE,400.44
1649581778,AAMIR,FARYAAL,PANTOPRAZOLE SODIUM,644.74
1649581778,AAMIR,FARYAAL,PAROXETINE HCL,462.89
1649581778,AAMIR,FARYAAL,PHENYTOIN SODIUM EXTENDED,337.04
1649581778,AAMIR,FARYAAL,PIOGLITAZONE HCL,2379.52
1649581778,AAMIR,FARYAAL,POLYETHYLENE GLYCOL 3350,352.1
1649581778,AAMIR,FARYAAL,PRAVASTATIN SODIUM,2961.91
1649581778,AAMIR,FARYAAL,PROAIR HFA,6246.43
1649581778,AAMIR,FARYAAL,PROPRANOLOL HCL,293.16
1649581778,AAMIR,FARYAAL,QUINAPRIL HCL,379.2
1649581778,AAMIR,FARYAAL,RANITIDINE HCL,180.81
1649581778,AAMIR,FARYAAL,RISPERIDONE,76.41
1649581778,AAMIR,FARYAAL,ROPINIROLE HCL,278.89
1649581778,AAMIR,FARYAAL,SERTRALINE HCL,68.36
1649581778,AAMIR,FARYAAL,SIMVASTATIN,469.79
1649581778,AAMIR,FARYAAL,SPIRIVA,5545.78
1649581778,AAMIR,FARYAAL,SPIRONOLACTONE,329.33
1649581778,AAMIR,FARYAAL,SYMBICORT,3897.04
1649581778,AAMIR,FARYAAL,TAMSULOSIN HCL,1008.25
1649581778,AAMIR,FARYAAL,TIZANIDINE HCL,1196.93
1336172998,AAMODT,DENISE,GLIPIZIDE ER,1291.91
1336172998,AAMODT,DENISE,GLIPIZIDE XL,622.24
1336172998,AAMODT,DENISE,HUMALOG KWIKPEN U-100,6342.44
1336172998,AAMODT,DENISE,HUMULIN 70-30,4176.79
1336172998,AAMODT,DENISE,HYDRALAZINE HCL,608.37
1336172998,AAMODT,DENISE,HYDROCHLOROTHIAZIDE,1114.72
1336172998,AAMODT,DENISE,HYDROCODONE-ACETAMINOPHEN,5820.77
1336172998,AAMODT,DENISE,IBUPROFEN,720.13
1336172998,AAMODT,DENISE,INVOKANA,7317.3
1336172998,AAMODT,DENISE,ISOSORBIDE MONONITRATE ER,483.22
1336172998,AAMODT,DENISE,JANUVIA,14274.74
1336172998,AAMODT,DENISE,KETOCONAZOLE,841.38
1336172998,AAMODT,DENISE,LABETALOL HCL,352.45
